digits,n_prefix,p_min,p_min_digits,attempts,sieve_elim_pct,time_ms
100,30141070903836705690,563,3,50,98.6,2.610
100,81498365856907216903,197,3,54,98.0,1.695
100,72581090369652187850,937,3,55,99.2,1.888
100,83816743812985814361,1951,4,80,98.0,2.622
100,66703456329896905010,127,3,23,98.7,1.245
100,39610729012929076967,53,2,16,0.0,0.202
100,28525872785092127632,13,2,6,0.0,0.207
100,85872987254345470107,311,3,23,99.0,3.324
100,20905498523878945074,457,3,42,99.1,1.326
100,89272525258327050165,197,3,60,98.0,4.572
100,82325678785476941810,223,3,56,97.7,1.793
100,93214563256945610341,193,3,22,99.0,1.088
100,70147898381038343458,191,3,22,98.5,2.135
100,55256701234305210123,31,2,11,0.0,0.153
100,18965218141456161614,499,3,74,98.3,1.758
100,75274321814389296383,293,3,70,98.7,1.847
100,14505676589238345652,67,2,19,0.0,0.269
100,83638183632585294785,251,3,54,98.3,1.873
100,48381296543074325014,89,2,22,99.0,1.145
100,43856323478985296361,1699,4,75,98.0,2.859
100,12143298163250727098,151,3,23,97.8,4.205
100,53416785610981870721,311,3,82,98.3,4.804
100,98187832365854109256,2659,4,50,99.3,1.484
100,65490589076345614981,977,3,50,98.0,1.651
100,94927876127494923856,1907,4,47,99.4,2.281
100,49414529018981038181,1847,4,47,99.2,7.365
100,54161854347678703614,839,3,64,99.0,1.774
100,71052125416129012761,5,1,3,0.0,0.206
100,86169292523676787474,59,2,17,0.0,0.209
100,93094927070125892321,881,3,58,99.1,1.515
100,44927036369812369472,59,2,17,0.0,0.330
100,27814909638309872323,491,3,60,98.1,1.574
100,50745494709430787294,2521,4,54,99.0,1.696
100,33034343454521496305,1931,4,60,99.0,2.986
100,86105216147834163436,67,2,19,0.0,0.310
100,87472307856961690387,2243,4,52,99.0,4.790
100,86385238767476529254,131,3,83,98.3,1.894
100,35654525418743074385,607,3,42,99.0,1.844
100,78763610985232383698,569,3,39,99.1,2.573
100,73092701276767054103,2861,4,96,98.1,6.274
100,50989234125274985016,197,3,23,98.9,1.265
100,15256183234501832361,1327,4,42,99.0,1.383
100,46147052589612507816,397,3,59,98.9,1.539
100,77492529854567438721,211,3,44,98.6,2.691
100,40741830121096147410,599,3,52,99.0,1.880
100,89412367658121898789,1549,4,37,99.2,4.133
100,76747076583058769238,853,3,60,99.0,1.560
100,41610725876549838783,19,2,8,0.0,0.176
100,16545656501416921674,271,3,60,98.2,1.792
100,15630561272105290367,131,3,48,97.4,1.802
100,20129038761676527656,37,2,12,0.0,0.232
100,29814925212127294589,409,3,46,97.8,1.606
100,88305496705036349438,107,3,22,98.9,1.293
100,91832589856383470981,109,3,22,97.5,3.313
100,96589094163438301850,337,3,65,98.9,3.137
100,15858169410503854129,1087,4,47,99.4,1.428
100,30583854347272989638,317,3,47,98.7,3.543
100,33694723056983416181,311,3,58,98.8,1.489
100,22787018305870785256,3049,4,58,99.1,1.572
100,27870569610589014541,691,3,68,97.8,1.821
100,54923874381474125450,293,3,54,99.0,1.609
100,65498309692929232587,19,2,8,0.0,0.200
100,64101672103870701052,1201,4,68,98.9,1.884
100,21896105252787818143,269,3,56,97.8,1.855
100,42969870903016981234,1069,4,75,97.9,1.877
100,93836987472145292125,239,3,23,99.2,1.236
100,48529690747472965038,3001,4,64,99.0,1.549
100,47696909898965034747,751,3,37,99.2,1.477
100,38709090181870789210,349,3,52,98.3,3.326
100,57230189274323070181,211,3,47,98.5,1.476
100,48307878181658341016,61,2,18,0.0,0.242
100,19296925290365278783,1823,4,66,98.9,1.977
100,90361274585274189498,523,3,43,99.0,1.510
100,39818121074767070545,857,3,45,97.9,3.832
100,76365012929610949410,457,3,51,98.5,1.685
100,21230121416521016961,2341,4,82,98.2,1.643
100,80523816185872125498,23,2,9,0.0,0.203
100,13292309034363090967,1783,4,64,99.0,1.588
100,16347050343416785070,17,2,7,0.0,0.204
100,59052941098341816905,23,2,9,0.0,0.179
100,72165816105452941432,263,3,22,99.1,1.190
100,75816165692347036345,983,3,49,98.3,1.732
100,84347238105690949636,1361,4,54,99.1,1.678
100,15474363454561874705,467,3,53,97.9,1.564
100,98709078987658163032,61,2,18,0.0,0.329
100,49232309450501076905,167,3,36,98.2,1.459
100,14563614327654509092,43,2,14,0.0,0.291
100,23654565810547498361,307,3,42,98.8,1.328
100,48341852323878183456,4621,4,59,99.3,1.706
100,55872963236907412563,3541,4,50,99.3,1.507
100,14925618327210383074,677,3,72,98.7,1.703
100,45698161870309612563,1471,4,89,98.3,5.727
100,70363636941692103898,67,2,19,0.0,0.376
100,81410129034545854145,347,3,75,97.6,1.980
100,22965852129816123856,67,2,19,0.0,0.208
100,11852369650769436167,113,3,22,99.1,1.258
100,10501294729016961472,587,3,51,98.0,2.113
100,67898925014127850765,193,3,23,98.8,1.295
100,48721892167870701814,229,3,23,98.4,1.233
100,13238349472569212583,857,3,71,98.4,4.425
100,86909876589430729298,569,3,45,99.2,1.552
100,43814947658741458343,443,3,59,98.1,5.489
100,58341276721098305232,661,3,51,99.0,2.219
100,29010961810109438989,251,3,108,97.9,3.942
100,48745216589032949454,1811,4,56,99.1,2.796
100,45892109276747414545,137,3,64,97.9,3.649
